cohort_week,n_customers_in_cohort,repurchase_7d_rate,repurchase_14d_rate,repurchase_28d_rate,avg_purchase_days,avg_category_diversity,is_7d_window_censored,is_14d_window_censored,is_28d_window_censored
2022-06-20,20353,0.12656610819043876,0.16547929052228172,0.2229646735125043,2.1043580798899426,2.5150100722252247,False,False,False
2022-06-27,40851,0.12626373895375878,0.1632028591711341,0.21282220753469927,1.9328290617120756,2.2748769919953,False,False,False
2022-07-04,45076,0.12654184044724465,0.15882065844351761,0.20283521164255924,1.7986511669180938,2.105776910107374,False,False,False
2022-07-11,46389,0.11882127228437776,0.14703916876845805,0.18513009549677725,1.6887193084567462,1.966565349544073,False,False,False
2022-07-18,42739,0.1197033154729872,0.14541753433632046,0.18196495004562577,1.6037342942043566,1.841760452982054,False,False,False
2022-07-25,39419,0.11266140693574164,0.13640630152971916,0.17400238463685025,1.5697252593926787,1.8282807783048785,False,False,False
2022-08-01,34129,0.12271089103108793,0.15098596501508982,0.1923291042808169,1.6206744996923437,1.9210348970084092,False,False,False
2022-08-08,33878,0.1120195997402444,0.1401794675010331,0.17940846567093688,1.5310230828266131,1.804091150599209,False,False,False
2022-08-15,36318,0.10856875378600143,0.13535987664518973,0.1710721956054849,1.4621124511261634,1.7043064045376948,False,False,False
2022-08-22,38501,0.11186722422794212,0.13737305524531832,0.17246305290771669,1.4417287862652919,1.6930988805485572,False,False,False
2022-08-29,39410,0.10992133976148186,0.13471200202994163,0.1701091093631058,1.4130931235726973,1.6593250444049734,False,False,False
2022-09-05,36807,0.09631320129323226,0.12429700872116717,0.16347433912027604,1.4326350965848886,1.7023392289510149,False,False,False
2022-09-12,37288,0.09949581634842308,0.1285668311521133,0.1709665307873847,1.4353679467925338,1.7272312808410213,False,False,False
2022-09-19,34920,0.0972794959908362,0.12617411225658648,0.1715635738831615,1.4098510882016038,1.6811855670103093,False,False,False
2022-09-26,33139,0.10021424907209028,0.13144633211623766,0.17489966504722532,1.3885150426989348,1.6647756419928181,False,False,False
2022-10-03,33839,0.10266260823310382,0.13206655042997725,0.17432548243151394,1.3636632288188186,1.6337953249209491,False,False,False
2022-10-10,36467,0.09992596045739983,0.130940302191022,0.17212822551896234,1.320755751775578,1.5721062878767105,False,False,False
2022-10-17,33647,0.10767676167266027,0.1353166701340387,0.1837310904389693,1.3044253573869884,1.5537789401729722,False,False,False
2022-10-24,32779,0.09570151621464962,0.12846639616827846,0.1763629152811251,1.2598309893529394,1.4937307422435095,False,False,False
2022-10-31,32287,0.09313345928701955,0.12234026078607489,0.16319261622324774,1.199120389011057,1.3463003685693933,False,False,False
2022-11-07,37186,0.10326466949927392,0.13440542139514872,0.1785080406604636,1.1870327542623569,1.4380143064594202,False,False,False
2022-11-14,38565,0.10571761960326721,0.14002333722287047,0.16792428367690912,1.1627382341501362,1.417632568391028,False,False,True
2022-11-21,38432,0.11240632805995004,0.14448896752706078,0.1479496253122398,1.123386761032473,1.3621201082431307,False,False,True
2022-11-28,43715,0.10753745853825918,0.11181516641884937,0.11181516641884937,1.0720805215601052,1.313599450989363,False,True,True
2022-12-05,23076,0.06634598717282024,0.06634598717282024,0.06634598717282024,1.016293985092737,1.2360894435777432,True,True,True
